['Uzaylı Avcısı Odin', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['2. Seviye Uzaylı Avcısı Odin', '289d7473-472b-68da-9019-da9594a8a127']
['Rün Cevheri Odin', 'a00e2e2b-431a-1f84-e6d0-a58f4fe1e56b']
['Delipop Odin', '549b06bb-4704-25ce-19d5-c9b70b10de19']
['2. Seviye Delipop Odin', '3e7d08f9-4067-1abe-8159-87b8e31fc463']
['3. Seviye Delipop Odin', 'ca91d540-4d2d-4946-70bd-97aae8117306']
['4. Seviye Delipop Odin', '8c95559d-44fb-544d-00d7-8192ed38b17a']
['Nitro Odin', '5f86ac54-46b0-806f-f200-dd89fbcd7cb9']
['.EXE Odin', '49292f21-4f5e-0a1a-3671-54b7ca8fe65a']
['Asil//2.0 Odin', 'ef564ec3-497c-3038-543e-eb94bbe46437']
['2. Seviye Asil//2.0 Odin', 'ab04093d-489f-27f3-9e1b-1589db2185c8']
['3. Seviye Asil//2.0 Odin', '7ca4b0b7-4ba5-9fc9-218c-0b8c865edaad']
['4. Seviye Asil//2.0 Odin', '4f3eea45-4e3e-026f-66c9-658906a52d0b']
['Prizma III Odin', '7e323e82-44b6-1711-2028-10af32c632d5']
['FLAŞ ODIN', 'c59442a5-4b74-792c-d996-71a5fb340625']
['Koalisyon: Kobra Odin', 'dd2acfca-4366-7ac0-c13e-1eb2f1948273']
['Şenlik Odin', '1bfea917-4262-37ba-3a76-04b937f2d0be']
['Rasgele Favori Kaplama', 'a89584fb-451d-fcce-0176-3bbaa6764a2e']
['Işık Dalgası Odin', '162beb92-4ab7-4383-da51-4b94ba90bd5d']
['Şematik Odin', '15a5516d-412f-2db0-6bb3-3cbe40a2355f']
['Gümüş Avcı Odin', 'e1a05cb4-4ac5-b15a-e86e-bab0f7e093ad']
['Yağmacı Odin', 'f5ce6297-4cd4-4b09-3931-5f8b20a4317d']
['2. Seviye Yağmacı Odin', '2bb3b930-48d4-c32a-2972-6ba60f1e3d96']
['3. Seviye Yağmacı Odin', '2a4c3d8a-44ec-0097-5afc-1bb1044605b4']
['4. Seviye Yağmacı Odin', '606a2388-440f-7858-e5e3-5a94d7aeb64f']
['ODIN', 'd91fb318-4e40-b4c9-8c0b-bb9da28bac55']
['Havalı Odin', '657b3476-4919-7b4b-be54-aeaedad999e6']
['BlastX Odin', '5123ed96-48de-aeab-eaea-2b8ea689f5a2']
['2. Seviye BlastX Odin', '35e89d1a-477c-3d54-82aa-3599a832fe0b']
['3. Seviye BlastX Odin', '31201e02-4873-a6db-1ce6-6e93a620370c']
['4. Seviye BlastX Odin', '7637fff1-4275-590a-6181-be95eae8786a']
['VALORANT GO! 2. Cilt Ares', '1203a0b8-4044-a7de-1751-87b30b9574e8']
['ARİSTOKRAT ARES', 'a2045403-40f7-2926-f955-028b6867c79a']
['Ufkun Sınırı Ares', '433e7f5e-4aaa-940e-4003-99bc0df92c17']
['NEBULA ARES', '7d3c0ac4-42ce-7111-2c86-43be3d2e86a7']
['Karikatürize Ares', '8e0c9fac-4d40-0a04-cf4a-4bb553952164']
['2. Seviye Karikatürize Ares', '700f9bc6-448d-1159-64ad-ea98035581d1']
['Anomali Ares', '642ee168-4f9e-1f5f-be72-01b3a41ac086']
['2. Seviye Anomali Ares', '485df72f-423e-4e53-51a2-68a3c2a929db']
['3. Seviye Anomali Ares', 'b080be2c-457a-61a2-d3b2-429b32e62345']
['4. Seviye Anomali Ares', '6b12682c-4813-d34f-322d-67b0211e1e6d']
['AKINCI ARES', 'bad7ae62-4f6a-8974-ab73-7ba6405ca898']
['KOLEKTİF ARES', '65bb772a-41f2-8b25-a1af-75a79d596203']
['Ateş Püsküren Ares', 'e5b8e4ac-4092-6968-704c-df8acaf0ac1d']
['MUHAREBE ARES', '6df8b470-4248-e29d-2879-bd840ed224c1']
['Altın Kanat Ares', '6916019f-405f-b5f1-d2c6-2d8e4c27cf17']
['Karakol Ares', '81694ace-47b3-3d95-9b88-59983d351471']
['PRİZMA ARES', '29be6d9e-48b2-1229-4f7d-4da1c20deda9']
['Unutulmaz Ares', '0dc1eefc-4b8f-e4c5-0c71-d680abcf73e7']
['SEMAVİ ARES', '46048768-4499-72f7-820b-7cbe1d4ad844']
['Sihirpunk Ares', '857ad950-486a-d199-7bf2-7092aaf88ae2']
['2. Seviye Sihirpunk Ares', '8be22b38-4655-5c1c-4235-2f96a85ddf4c']
['3. Seviye Sihirpunk Ares', '0d2861a4-495b-4f66-c416-f78605ecc9aa']
['4. Seviye Sihirpunk Ares', 'ddc01ea7-4ecc-617e-da04-2491064e592b']
['MİNİMA ARES', '792656ff-445c-fa7f-301a-8490f638b168']
['İyon Ares', 'c6c7ffc4-4892-6393-38b3-1b92837a8038']
['2. Seviye İyon Ares', 'c36fda0b-4ea8-9052-d6e4-4298a213154d']
['3. Seviye İyon Ares', '8710d3a0-4c50-9f52-5076-f78418701e57']
['4. Seviye İyon Ares', '5d746e26-4d66-a65f-1364-0e8cd49eae72']
['9 Canlı Ares', 'c7528a68-41cb-380b-4753-06b2e5f1e01c']
['Kübik Kurbağa Ares', '9b61f5ca-4aa2-8557-37b2-a1b05f30c678']
['Uçan Domuzcuk Ares', '75e66837-47b4-0aec-cf8e-8b96f3af7d6b']
['Yapboz Ares', '3ee60a8a-4736-5a6d-3713-00a05402481d']
['Büyük Çarpışma Ares', '7090c9c1-454e-6f83-1b4d-7b961b55cf01']
['Rasgele Favori Kaplama', 'e507b35c-4a86-0663-0259-8da5f286d41c']
['Sakura Ares', '9fbe39c6-42d7-b1db-9048-f0951ce2ff94']
['Kar Diyarı Ares', 'f8295d0b-4378-f4ff-342d-178f6d86ac88']
['Işık Muhafızları Ares', '0ddbdf8c-43b0-e2f1-94f8-d6be9d2a2110']
['2. Seviye Işık Muhafızları Ares', 'ba3ee5c5-478f-6a30-aa0c-85942ba2a7c0']
['3. Seviye Işık Muhafızları Ares', 'a92fc69d-4be1-74f5-938b-e0b27b2bb929']
['4. Seviye Işık Muhafızları Ares', '0725b4f4-44eb-5297-9ea2-18a333a95087']
['Demirdiken Ares', '2317e839-44cd-2301-80a8-c4ac63c626ac']
['ARES', '0f5f60f4-4c94-e4b2-ceab-e2b4e8b41784']
['Ebedi Vandal', '1e84a5bd-4350-c804-d6cc-79a2d98e6344']
['RGX 11z Pro Vandal', '4e435234-49a2-1444-4640-908692c855b8']
['2. Seviye RGX 11z Pro Vandal', '524ebe7d-4a3b-cf50-ed55-1092d82cebf9']
['3. Seviye RGX 11z Pro Vandal', '1561075c-4fe9-882e-39fb-eca6eeab924c']
['4. Seviye RGX 11z Pro Vandal', 'f435e745-462b-c4bd-7ddf-a99ea33a0f16']
['5. Seviye RGX 11z Pro Vandal', '796cf1d2-4893-fee7-3401-beb277c726c8']
['VALORANT GO! 2. Cilt Vandal', '23de6607-4647-bccd-8863-3da2720e4152']
['Yıldız Belası Vandal', 'a3dba920-44ee-d7c5-5227-99a80aee3bd9']
['2. Seviye Yıldız Belası Vandal', '6ecbed4a-4df2-cbac-ef9c-05b89e542224']
['3. Seviye Yıldız Belası Vandal', '09c0d1f4-4f53-71ea-29ef-6d91719f8ae0']
['4. Seviye Yıldız Belası Vandal', 'cf641af3-477a-b7da-b996-089d6168f3d1']
['Neptün Vandal', '49cea67c-4552-13c2-6b4b-8ba07761504e']
['2. Seviye Neptün Vandal', '24e39414-4a8e-e800-1242-08bd94b5e3c4']
['3. Seviye Neptün Vandal', '7b2826b6-4771-7529-b656-b89b9c1d86b6']
['ARİSTOKRAT VANDAL', '9ff1a0e6-4f74-0e6d-9117-de8683db4eb5']
["Gaia'nın İntikamı Vandal", 'c4422d16-4cb1-75d5-fd18-dda0bb05f46b']
["2. Seviye Gaia'nın İntikamı Vandal", '0832fe9d-43bf-38bf-df60-9dac91449997']
["3. Seviye Gaia'nın İntikamı Vandal", 'd5c3e32c-4d18-7608-2bab-21851f4036e3']
["4. Seviye Gaia'nın İntikamı Vandal", '4c4b080d-4b05-65e8-a9c1-6d90aafa7347']
['Ufkun Sınırı Vandal', '44ffb8d4-4f48-9456-0463-a6bc1e6ecede']
['Champions 2021 Vandal', '9f51da57-4623-415a-6313-f49588297d0e']
['2. Seviye Champions 2021 Vandal', 'f96ed262-4280-2363-2542-38b5620bfbb5']
['3. Seviye Champions 2021 Vandal', '78c44470-4dd0-eb4c-72f6-86961be3d856']
['4. Seviye Champions 2021 Vandal - Oyuncu oyundaki en fazla skoru aldığında silahın haresi açılır.', '4c8a49bd-4118-9523-6612-4a924651b4a9']
['Köken Vandal', '1969e379-40ae-b28a-6fb3-819873a24fb9']
['2. Seviye Köken Vandal', '2ee1c6e6-4213-723f-1fd8-c9a76c00ff72']
['3. Seviye Köken Vandal', '43e8a873-4ddf-1c73-6d91-3786b9fb3145']
['4. Seviye Köken Vandal', '66c8a651-4a8c-aa44-1af0-088118b9a975']
['Yıldız Serüveni Vandal', '214578e1-4895-3b35-0d3d-85a8beac1b59']
['Delipop Vandal', '7e44fc1b-44fa-cdda-8491-f8a5bca1cfa3']
['2. Seviye Delipop Vandal', 'c01d91bb-4203-4f78-0b6a-1aae9abb458b']
['3. Seviye Delipop Vandal', '084e16e5-4340-618f-09ba-128331f9b8cc']
['4. Seviye Delipop Vandal', '7a322cff-4acb-15c4-5006-049655bfa22f']
['Zamanın Ötesi Vandal', '59d61899-4573-65ea-0e42-2ea6d324d32b']
['2. Seviye Zamanın Ötesi Vandal', '6553ba0a-4d44-799e-69cc-a89aae212409']
['3. Seviye Zamanın Ötesi Vandal', 'bd2d47b0-42f8-6684-bf01-6c886faff0c8']
['4. Seviye Zamanın Ötesi Vandal', 'a722bac4-457a-959b-3770-e0b3eaf6528e']
['Kaosun Başlangıcı Vandal', '1010fb40-4344-6ec8-2a8a-33bf076339b6']
['2. Seviye Kaosun Başlangıcı Vandal', '273db50c-41fd-99eb-89fa-d0969ef739bb']
['3. Seviye Kaosun Başlangıcı Vandal', '0b2b3fb5-415d-ed9e-d865-5aa90a28894e']
['4. Seviye Kaosun Başlangıcı Vandal', 'a4021006-49be-e1f3-b2e1-cc8635694d0c']
['Ejder Ateşi Vandal', 'b3d3ff38-4202-20d8-2f41-c783477e5636']
