['Odin Xenohunter', '89baf0f4-4648-69fc-f0af-2fbc69b97b80']
['Odin Xenohunter Cấp 2', '289d7473-472b-68da-9019-da9594a8a127']
['Odin Đá Cổ Tự', 'a00e2e2b-431a-1f84-e6d0-a58f4fe1e56b']
['Odin Glitchpop', '549b06bb-4704-25ce-19d5-c9b70b10de19']
['Odin Glitchpop Cấp 2', '3e7d08f9-4067-1abe-8159-87b8e31fc463']
['Odin Glitchpop Cấp 3', 'ca91d540-4d2d-4946-70bd-97aae8117306']
['Odin Glitchpop Cấp 4', '8c95559d-44fb-544d-00d7-8192ed38b17a']
['Odin Nitro', '5f86ac54-46b0-806f-f200-dd89fbcd7cb9']
['Odin .EXE', '49292f21-4f5e-0a1a-3671-54b7ca8fe65a']
['Odin Hoàng Gia//2.0', 'ef564ec3-497c-3038-543e-eb94bbe46437']
['Odin Hoàng Gia//2.0 Cấp 2', 'ab04093d-489f-27f3-9e1b-1589db2185c8']
['Odin Hoàng Gia//2.0 Cấp 3', '7ca4b0b7-4ba5-9fc9-218c-0b8c865edaad']
['Odin Hoàng Gia//2.0 Cấp 4', '4f3eea45-4e3e-026f-66c9-658906a52d0b']
['Odin Tán Sắc III', '7e323e82-44b6-1711-2028-10af32c632d5']
['Odin Trừng Phạt', 'c59442a5-4b74-792c-d996-71a5fb340625']
['Odin Biệt Đội Hổ Mang', 'dd2acfca-4366-7ac0-c13e-1eb2f1948273']
['Odin Xúc Cảm', '1bfea917-4262-37ba-3a76-04b937f2d0be']
['Skin Yêu Thích Ngẫu Nhiên', 'a89584fb-451d-fcce-0176-3bbaa6764a2e']
['Odin Hồ Quang', '162beb92-4ab7-4383-da51-4b94ba90bd5d']
['Odin Giản Đồ', '15a5516d-412f-2db0-6bb3-3cbe40a2355f']
['Odin Ma Sói', 'e1a05cb4-4ac5-b15a-e86e-bab0f7e093ad']
['Odin Cưỡng Đoạt', 'f5ce6297-4cd4-4b09-3931-5f8b20a4317d']
['Odin Cưỡng Đoạt Cấp 2', '2bb3b930-48d4-c32a-2972-6ba60f1e3d96']
['Odin Cưỡng Đoạt Cấp 3', '2a4c3d8a-44ec-0097-5afc-1bb1044605b4']
['Odin Cưỡng Đoạt Cấp 4', '606a2388-440f-7858-e5e3-5a94d7aeb64f']
['Odin', 'd91fb318-4e40-b4c9-8c0b-bb9da28bac55']
['Odin Khí Sương', '657b3476-4919-7b4b-be54-aeaedad999e6']
['Odin BlastX', '5123ed96-48de-aeab-eaea-2b8ea689f5a2']
['Odin BlastX Cấp 2', '35e89d1a-477c-3d54-82aa-3599a832fe0b']
['Odin BlastX Cấp 3', '31201e02-4873-a6db-1ce6-6e93a620370c']
['Odin BlastX Cấp 4', '7637fff1-4275-590a-6181-be95eae8786a']
['Ares VALORANT GO! Vol. 2', '1203a0b8-4044-a7de-1751-87b30b9574e8']
['Ares Quý Tộc', 'a2045403-40f7-2926-f955-028b6867c79a']
['Ares Phi Hành Gia', '433e7f5e-4aaa-940e-4003-99bc0df92c17']
['Ares Tinh Vân', '7d3c0ac4-42ce-7111-2c86-43be3d2e86a7']
['Ares Phác Họa', '8e0c9fac-4d40-0a04-cf4a-4bb553952164']
